datetime,price,tickersymbol,futurecontractcode
2024-01-02 08:45:04.971461,1130.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:45:04.971461,1130.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:45:04.971461,1130.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:45:49.104615,1131.50,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:45:49.104615,1131.50,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:45:49.104615,1131.50,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:45:50.118256,1131.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:45:50.118256,1131.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:45:50.118256,1131.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:45:57.438238,1132.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:45:57.438238,1132.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:45:57.438238,1132.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:46:00.705803,1134.10,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:46:00.705803,1134.10,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:46:00.705803,1134.10,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:46:24.391079,1134.50,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:46:24.391079,1134.50,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:46:24.391079,1134.50,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:46:40.825308,1134.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 08:46:40.825308,1134.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 08:46:40.825308,1134.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 08:46:44.888883,1135.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
