number,value,datetime_start,datetime_complete,duration,params_order_size,params_spread,params_wait_time,state
43,2510.9999999999727,2025-04-21 21:18:44.738055,2025-04-21 21:18:48.356095,0 days 00:00:03.618040,9,5e-05,448,COMPLETE
44,3152.800000000043,2025-04-21 21:18:48.356943,2025-04-21 21:18:52.009963,0 days 00:00:03.653020,8,9e-05,82,COMPLETE
45,579.0000000000009,2025-04-21 21:18:52.011203,2025-04-21 21:18:55.612658,0 days 00:00:03.601455,10,8e-05,3006,COMPLETE
46,757.5999999999785,2025-04-21 21:18:55.613770,2025-04-21 21:18:59.187000,0 days 00:00:03.573230,8,1e-05,1576,COMPLETE
47,539.0999999999967,2025-04-21 21:18:59.188280,2025-04-21 21:19:02.836512,0 days 00:00:03.648232,9,0.00016,2157,COMPLETE
48,1208.6999999999975,2025-04-21 21:19:02.837755,2025-04-21 21:19:06.467387,0 days 00:00:03.629632,9,5e-05,1099,COMPLETE
49,1865.9999999999718,2025-04-21 21:19:06.468508,2025-04-21 21:19:10.088674,0 days 00:00:03.620166,10,7.000000000000001e-05,674,COMPLETE
50,2513.600000000006,2025-04-21 21:19:10.089832,2025-04-21 21:19:13.759537,0 days 00:00:03.669705,8,0.0002,335,COMPLETE
51,1946.000000000016,2025-04-21 21:19:13.760843,2025-04-21 21:19:17.399300,0 days 00:00:03.638457,7,0.00012,321,COMPLETE
52,1188.7999999999865,2025-04-21 21:19:17.400830,2025-04-21 21:19:21.061240,0 days 00:00:03.660410,8,9e-05,753,COMPLETE
53,3366.300000000019,2025-04-21 21:19:21.062462,2025-04-21 21:19:24.750051,0 days 00:00:03.687589,7,0.0001,71,COMPLETE
54,187.19999999999754,2025-04-21 21:19:24.751167,2025-04-21 21:19:28.352160,0 days 00:00:03.600993,9,0.00013000000000000002,6701,COMPLETE
55,1410.2999999999881,2025-04-21 21:19:28.353344,2025-04-21 21:19:31.927910,0 days 00:00:03.574566,9,3.0000000000000004e-05,1192,COMPLETE
56,1432.5,2025-04-21 21:19:31.929417,2025-04-21 21:19:35.541867,0 days 00:00:03.612450,5,9e-05,299,COMPLETE
57,1094.4000000000005,2025-04-21 21:19:35.543201,2025-04-21 21:19:39.107418,0 days 00:00:03.564217,6,6e-05,838,COMPLETE
58,187.5999999999981,2025-04-21 21:19:39.108544,2025-04-21 21:19:42.712504,0 days 00:00:03.603960,7,0.00011,4886,COMPLETE
59,1355.199999999997,2025-04-21 21:19:42.713722,2025-04-21 21:19:46.299084,0 days 00:00:03.585362,8,0.00011,620,COMPLETE
60,2894.000000000003,2025-04-21 21:19:46.300361,2025-04-21 21:19:49.859592,0 days 00:00:03.559231,10,4e-05,253,COMPLETE
61,3056.2000000000194,2025-04-21 21:19:49.860704,2025-04-21 21:19:53.489762,0 days 00:00:03.629058,7,0.0001,140,COMPLETE
62,2671.200000000012,2025-04-21 21:19:53.490939,2025-04-21 21:19:57.103710,0 days 00:00:03.612771,7,0.0001,119,COMPLETE
63,1501.599999999993,2025-04-21 21:19:57.104731,2025-04-21 21:20:00.755765,0 days 00:00:03.651034,8,8e-05,523,COMPLETE
64,571.6000000000013,2025-04-21 21:20:00.756959,2025-04-21 21:20:04.347962,0 days 00:00:03.591003,4,9e-05,1091,COMPLETE
65,2127.5999999999926,2025-04-21 21:20:04.349124,2025-04-21 21:20:07.957861,0 days 00:00:03.608737,9,0.00012,303,COMPLETE
66,1031.2000000000062,2025-04-21 21:20:07.958984,2025-04-21 21:20:11.601349,0 days 00:00:03.642365,8,0.00014000000000000001,825,COMPLETE
67,3066.000000000036,2025-04-21 21:20:11.602467,2025-04-21 21:20:15.296373,0 days 00:00:03.693906,7,0.0001,69,COMPLETE
68,1191.599999999994,2025-04-21 21:20:15.297655,2025-04-21 21:20:18.907779,0 days 00:00:03.610124,6,6e-05,635,COMPLETE
69,126.40000000000009,2025-04-21 21:20:18.909022,2025-04-21 21:20:22.481125,0 days 00:00:03.572103,1,8e-05,1271,COMPLETE
70,753.2999999999984,2025-04-21 21:20:22.482230,2025-04-21 21:20:26.122898,0 days 00:00:03.640668,9,0.00011,2117,COMPLETE
71,1911.0000000000127,2025-04-21 21:20:26.124070,2025-04-21 21:20:29.784462,0 days 00:00:03.660392,7,0.0001,287,COMPLETE
72,1416.7999999999863,2025-04-21 21:20:29.785886,2025-04-21 21:20:33.466092,0 days 00:00:03.680206,7,9e-05,458,COMPLETE
73,3824.100000000029,2025-04-21 21:20:33.467434,2025-04-21 21:20:37.191820,0 days 00:00:03.724386,7,0.0001,61,COMPLETE
74,3824.100000000029,2025-04-21 21:20:37.193115,2025-04-21 21:20:40.905891,0 days 00:00:03.712776,7,9e-05,61,COMPLETE
75,1447.1999999999898,2025-04-21 21:20:40.906960,2025-04-21 21:20:44.490620,0 days 00:00:03.583660,8,7.000000000000001e-05,968,COMPLETE
76,1196.3999999999924,2025-04-21 21:20:44.492016,2025-04-21 21:20:48.165600,0 days 00:00:03.673584,6,8e-05,556,COMPLETE
77,2881.0000000000014,2025-04-21 21:20:48.166791,2025-04-21 21:20:51.707640,0 days 00:00:03.540849,10,9e-05,336,COMPLETE
78,2811.200000000037,2025-04-21 21:20:51.708825,2025-04-21 21:20:55.342176,0 days 00:00:03.633351,8,0.00011,85,COMPLETE
79,1677.5999999999865,2025-04-21 21:20:55.345548,2025-04-21 21:20:58.869733,0 days 00:00:03.524185,9,7.000000000000001e-05,732,COMPLETE
80,1267.7000000000073,2025-04-21 21:20:58.870925,2025-04-21 21:21:02.440768,0 days 00:00:03.569843,7,0.00013000000000000002,531,COMPLETE
81,3530.800000000039,2025-04-21 21:21:02.441953,2025-04-21 21:21:06.081151,0 days 00:00:03.639198,7,0.0001,62,COMPLETE
